Attacker,Defender,Track,Outcome,Pit_Delta,Gap_Before,Tire_Delta,Def_Traffic_Gap,Att_Pit_Duration,Def_Pit_Duration,Track_Temp,Att_Hardness,Def_Hardness,Att_Compound,Def_Compound,Attacker_Lap,Defender_Lap,Target_Position
COL,TSU,Canadian Grand Prix,fail,-0.06299999999999883,0.975,40.0,2.06,18.187,18.25,49.5,3,2,HARD,MEDIUM,66.0,68.0,12.0
COL,COL,Canadian Grand Prix,fail,0.018000000000000682,0.0,-1.0,2.194,18.187,18.169,49.5,3,3,HARD,HARD,66.0,67.0,13.0
COL,COL,Canadian Grand Prix,fail,0.0,0.0,-2.0,1.679,18.187,18.187,49.5,3,3,HARD,HARD,66.0,68.0,13.0
COL,TSU,Canadian Grand Prix,fail,-0.08099999999999952,2.516,41.0,2.06,18.169,18.25,49.3,3,2,HARD,MEDIUM,67.0,68.0,12.0
HAM,PIA,Canadian Grand Prix,fail,0.39399999999999835,2.769,-1.0,0.049,23.613,23.219,50.0,2,2,MEDIUM,MEDIUM,15.0,16.0,7.0
BOR,TSU,Canadian Grand Prix,fail,0.01899999999999835,2.872,6.0,2.776,18.266,18.247,49.5,2,2,MEDIUM,MEDIUM,66.0,67.0,12.0
BOR,TSU,Canadian Grand Prix,fail,0.015999999999998238,2.872,5.0,2.06,18.266,18.25,49.5,2,2,MEDIUM,MEDIUM,66.0,68.0,12.0
BOR,COL,Canadian Grand Prix,fail,0.09699999999999775,1.897,-36.0,2.194,18.266,18.169,49.5,2,3,MEDIUM,HARD,66.0,67.0,13.0
BOR,COL,Canadian Grand Prix,fail,0.07899999999999707,1.897,-37.0,1.679,18.266,18.187,49.5,2,3,MEDIUM,HARD,66.0,68.0,13.0
BOR,BOR,Canadian Grand Prix,fail,-0.07200000000000273,0.0,-1.0,1.563,18.266,18.338,49.5,2,2,MEDIUM,MEDIUM,66.0,67.0,14.0
BOR,BOR,Canadian Grand Prix,fail,-0.04600000000000293,0.0,-2.0,1.759,18.266,18.312,49.5,2,2,MEDIUM,MEDIUM,66.0,68.0,14.0
BOR,COL,Canadian Grand Prix,fail,0.1509999999999998,0.921,-36.0,1.679,18.338,18.187,49.3,2,3,MEDIUM,HARD,67.0,68.0,13.0
SAI,OCO,Canadian Grand Prix,fail,0.036999999999999034,0.861,-1.0,21.788,18.266,18.229,49.5,2,2,MEDIUM,MEDIUM,66.0,67.0,9.0
SAI,OCO,Canadian Grand Prix,fail,0.10899999999999821,0.861,-2.0,45.849,18.266,18.157,49.5,2,2,MEDIUM,MEDIUM,66.0,68.0,9.0
SAI,SAI,Canadian Grand Prix,fail,0.013999999999999346,0.0,-1.0,0.947,18.266,18.252,49.5,2,2,MEDIUM,MEDIUM,66.0,67.0,10.0
SAI,SAI,Canadian Grand Prix,fail,0.125,0.0,-2.0,1.246,18.266,18.141,49.5,2,2,MEDIUM,MEDIUM,66.0,68.0,10.0
SAI,OCO,Canadian Grand Prix,fail,0.09499999999999886,0.556,-1.0,45.849,18.252,18.157,49.3,2,2,MEDIUM,MEDIUM,67.0,68.0,9.0
HAD,COL,Canadian Grand Prix,fail,-0.48400000000000176,2.102,-6.0,6.428,24.063,24.547,50.1,2,2,MEDIUM,MEDIUM,13.0,14.0,19.0
HAD,GAS,Canadian Grand Prix,fail,5.466000000000001,1.282,40.0,1.3,23.681,18.215,49.5,3,2,HARD,MEDIUM,66.0,67.0,15.0
HAD,GAS,Canadian Grand Prix,fail,5.556000000000001,1.282,39.0,2.0,23.681,18.125,49.5,3,2,HARD,MEDIUM,66.0,68.0,15.0
HAD,BOR,Canadian Grand Prix,fail,5.343,1.966,36.0,1.563,23.681,18.338,49.5,3,2,HARD,MEDIUM,66.0,67.0,14.0
HAD,BOR,Canadian Grand Prix,fail,5.369,1.966,35.0,1.759,23.681,18.312,49.5,3,2,HARD,MEDIUM,66.0,68.0,14.0
HAD,HAD,Canadian Grand Prix,fail,5.356000000000002,0.0,50.0,6.467,23.681,18.325,49.5,3,1,HARD,SOFT,66.0,67.0,16.0
HAD,HAD,Canadian Grand Prix,fail,5.384,0.0,49.0,2.635,23.681,18.297,49.5,3,1,HARD,SOFT,66.0,68.0,16.0
PIA,ANT,Canadian Grand Prix,fail,7.527000000000001,1.243,-8.0,1.137,26.454,18.927,49.5,3,3,HARD,HARD,67.0,68.0,3.0
PIA,ANT,Canadian Grand Prix,fail,8.189,1.243,-9.0,1.098,26.454,18.265,49.5,3,3,HARD,HARD,67.0,69.0,3.0
BEA,BEA,Canadian Grand Prix,fail,9.733,0.0,47.0,20.934,27.937,18.204,49.5,3,1,HARD,SOFT,66.0,67.0,11.0
BEA,BEA,Canadian Grand Prix,fail,9.765,0.0,46.0,4.459,27.937,18.172,49.5,3,1,HARD,SOFT,66.0,68.0,11.0
HUL,COL,Austrian Grand Prix,success,-1.7810000000000024,2.21,-1.0,1.557,21.188,22.969,49.1,1,1,SOFT,SOFT,12.0,13.0,14.0
BEA,COL,Austrian Grand Prix,success,-0.9849999999999994,-0.689,-2.0,1.557,21.984,22.969,49.2,1,1,SOFT,SOFT,11.0,13.0,14.0
GAS,BEA,Austrian Grand Prix,fail,0.3910000000000018,2.038,-2.0,0.486,22.172,21.781,48.3,3,3,HARD,HARD,38.0,39.0,10.0
ANT,LEC,British Grand Prix,fail,-0.36699999999999733,-0.244,-3.0,0.204,28.722,29.089,24.3,3,2,HARD,MEDIUM,9.0,10.0,13.0
ALO,RUS,British Grand Prix,fail,0.3569999999999993,1.291,-2.0,3.807,28.582,28.225,23.4,4,4,INTERMEDIATE,INTERMEDIATE,37.0,38.0,6.0
STR,ALB,British Grand Prix,success,-0.3890000000000029,2.884,-8.0,0.82,28.865,29.254,24.1,1,4,SOFT,INTERMEDIATE,10.0,12.0,3.0
HAM,HUL,British Grand Prix,fail,-0.9349999999999987,2.488,-3.0,32.073,29.198,30.133,23.6,4,4,INTERMEDIATE,INTERMEDIATE,41.0,42.0,3.0
BEA,OCO,British Grand Prix,success,0.4209999999999994,-0.651,7.0,1.821,29.079,28.658,23.6,4,4,INTERMEDIATE,INTERMEDIATE,41.0,42.0,7.0
HAM,BEA,Belgian Grand Prix,success,-1.1409999999999982,1.133,10.0,0.27,23.234,24.375,25.4,4,2,INTERMEDIATE,MEDIUM,11.0,12.0,12.0
ALO,ANT,Belgian Grand Prix,fail,0.5189999999999984,1.737,0.0,5.175,23.625,23.106,24.7,2,2,MEDIUM,MEDIUM,29.0,30.0,14.0
PIA,LEC,Hungarian Grand Prix,fail,-0.1390000000000029,2.508,-1.0,10.0,21.141,21.28,31.5,2,2,MEDIUM,MEDIUM,18.0,19.0,1.0
OCO,SAI,Hungarian Grand Prix,fail,0.6819999999999986,2.29,-1.0,0.863,22.416,21.734,31.2,2,1,MEDIUM,SOFT,14.0,15.0,14.0
COL,ALB,Hungarian Grand Prix,fail,8.912999999999997,1.749,-1.0,0.726,30.205,21.292,30.8,2,1,MEDIUM,SOFT,13.0,14.0,17.0
COL,OCO,Hungarian Grand Prix,fail,7.788999999999998,2.401,-1.0,0.576,30.205,22.416,30.8,2,2,MEDIUM,MEDIUM,13.0,14.0,16.0
COL,ALB,Hungarian Grand Prix,fail,3.527000000000001,2.916,-2.0,0.675,26.234,22.707,32.0,3,2,HARD,MEDIUM,35.0,38.0,15.0
ANT,LEC,Dutch Grand Prix,unknown,-7.364999999999998,2.175,-3.0,5.596,17.635,25.0,28.3,3,3,HARD,HARD,51.0,52.0,5.0
ALO,TSU,Dutch Grand Prix,success,-0.9420000000000002,1.168,-1.0,2.237,17.381,18.323,27.2,2,1,MEDIUM,SOFT,18.0,19.0,12.0
LEC,HAD,Dutch Grand Prix,fail,-0.24299999999999855,1.152,-1.0,3.471,17.149,17.392,26.5,2,2,MEDIUM,MEDIUM,22.0,23.0,4.0
BEA,TSU,Italian Grand Prix,success,0.847999999999999,1.007,-1.0,1.514,25.171,24.323,44.1,2,2,MEDIUM,MEDIUM,18.0,19.0,14.0
STR,OCO,Italian Grand Prix,fail,7.859999999999999,2.266,-1.0,0.724,38.527,30.667,40.9,3,3,HARD,HARD,49.0,51.0,9.0
ANT,LAW,Azerbaijan Grand Prix,success,0.5199999999999996,0.463,-3.0,0.543,20.658,20.138,25.0,2,2,MEDIUM,MEDIUM,18.0,20.0,5.0
NOR,TSU,Azerbaijan Grand Prix,fail,1.6700000000000017,1.935,-1.0,12.419,21.934,20.264,25.0,2,3,MEDIUM,HARD,37.0,38.0,3.0
HUL,STR,Azerbaijan Grand Prix,success,-1.7710000000000008,2.077,-4.0,0.701,20.015,21.786,25.2,3,2,HARD,MEDIUM,36.0,37.0,14.0
LAW,SAI,Singapore Grand Prix,fail,0.1529999999999987,-0.886,-2.0,1.403,24.183,24.03,34.0,2,2,MEDIUM,MEDIUM,48.0,50.0,12.0
ANT,RUS,Mexico City Grand Prix,fail,2.100999999999999,1.259,2.0,2.417,24.554,22.453,49.1,2,2,MEDIUM,MEDIUM,47.0,48.0,4.0
PIA,RUS,Mexico City Grand Prix,fail,0.7729999999999997,1.221,-1.0,6.067,23.191,22.418,50.7,1,1,SOFT,SOFT,24.0,25.0,4.0
PIA,RUS,Mexico City Grand Prix,fail,-0.2480000000000011,1.862,0.0,2.417,22.205,22.453,49.1,2,2,MEDIUM,MEDIUM,47.0,48.0,4.0
GAS,LAW,São Paulo Grand Prix,success,0.6760000000000019,0.651,-1.0,0.109,23.498,22.822,30.9,1,1,SOFT,SOFT,18.0,19.0,9.0
ALB,HUL,São Paulo Grand Prix,fail,0.08000000000000185,1.303,5.0,3.274,23.047,22.967,30.3,2,2,MEDIUM,MEDIUM,35.0,36.0,6.0
SAI,GAS,São Paulo Grand Prix,fail,2.4369999999999976,1.803,-4.0,0.377,25.935,23.498,30.8,1,1,SOFT,SOFT,17.0,18.0,11.0
HAD,GAS,São Paulo Grand Prix,success,-0.5380000000000003,-0.697,4.0,2.038,23.08,23.618,30.3,2,2,MEDIUM,MEDIUM,37.0,39.0,8.0
BEA,HAD,São Paulo Grand Prix,success,-0.13599999999999923,1.287,-2.0,0.278,23.645,23.781,30.8,1,1,SOFT,SOFT,17.0,18.0,7.0
SAI,LEC,Las Vegas Grand Prix,fail,-0.19000000000000128,-0.563,-2.0,0.476,21.163,21.353,17.4,2,2,MEDIUM,MEDIUM,22.0,24.0,4.0
HAM,HUL,Las Vegas Grand Prix,fail,-0.745000000000001,0.801,-1.0,3.196,21.622,22.367,17.2,3,3,HARD,HARD,29.0,30.0,5.0
ALO,BEA,Las Vegas Grand Prix,success,-0.5279999999999987,1.832,-1.0,3.372,21.036,21.564,17.6,2,2,MEDIUM,MEDIUM,16.0,17.0,11.0
TSU,GAS,Las Vegas Grand Prix,success,-2.535,0.0,-1.0,0.497,21.312,23.847,18.2,2,2,MEDIUM,MEDIUM,1.0,2.0,17.0
TSU,LAW,Las Vegas Grand Prix,success,-11.505999999999997,0.0,-1.0,8.194,21.312,32.818,18.2,2,2,MEDIUM,MEDIUM,1.0,2.0,16.0
COL,TSU,Las Vegas Grand Prix,fail,2.0279999999999987,-0.536,-1.0,0.941,22.848,20.82,17.3,3,3,HARD,HARD,25.0,27.0,16.0
BOR,GAS,Las Vegas Grand Prix,unknown,9.375999999999998,0.0,-1.0,0.497,33.223,23.847,18.2,3,2,HARD,MEDIUM,1.0,2.0,17.0
BOR,LAW,Las Vegas Grand Prix,unknown,0.40500000000000114,0.0,-1.0,8.194,33.223,32.818,18.2,3,2,HARD,MEDIUM,1.0,2.0,16.0
PIA,LEC,Las Vegas Grand Prix,success,0.04299999999999926,1.622,-3.0,0.476,21.396,21.353,17.4,2,2,MEDIUM,MEDIUM,21.0,24.0,4.0
HUL,ALB,Abu Dhabi Grand Prix,success,-0.060000000000002274,1.817,-1.0,0.323,21.548,21.608,31.5,1,1,SOFT,SOFT,7.0,8.0,17.0
BOR,ALO,Abu Dhabi Grand Prix,fail,-1.3230000000000004,1.843,-2.0,4.518,22.035,23.358,30.8,2,2,MEDIUM,MEDIUM,15.0,16.0,5.0
